[27.09.2017 | 20:27:14] Position: -2550.600, 566.147, 24.384 | Velocity: 0.192, -0.006, 0.065 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:14] Position: -2550.100, 566.128, 24.554 | Velocity: 0.204, -0.008, 0.069 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:15] Position: -2545.606, 565.221, 25.872 | Velocity: 0.189, -0.064, 0.053 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:16] Position: -2541.207, 563.221, 27.117 | Velocity: 0.179, -0.083, 0.050 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:16] Position: -2540.742, 563.004, 27.249 | Velocity: 0.189, -0.088, 0.053 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[3.12.2017 | 01:40:07] Position: 2178.730, 2528.723, 13.359 | Velocity: 0.166, 0.109, 0.066 | PlayerLevel: 999 | Name: Aro_Manasyan
[3.12.2017 | 01:40:07] Position: 2178.863, 2528.811, 13.413 | Velocity: 0.166, 0.109, 0.066 | PlayerLevel: 999 | Name: Aro_Manasyan
[3.12.2017 | 01:40:07] Position: 2179.276, 2529.088, 13.582 | Velocity: 0.164, 0.111, 0.068 | PlayerLevel: 999 | Name: Aro_Manasyan
[3.12.2017 | 01:40:07] Position: 2179.410, 2529.179, 13.638 | Velocity: 0.166, 0.113, 0.070 | PlayerLevel: 999 | Name: Aro_Manasyan
[4.03.2018 | 21:43:32] Position: 1540.558, -1723.303, 16.560 | Velocity: 0.203, -0.037, 0.000 | PlayerLevel: 1 | Name: Leo_Galante
